Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AAPL,AAPL,AAPL,AAPL,AAPL,,,
2021-02-23,2021,2,23,Tuesday,08,2021-08,120.43,123.3,115.21,122.47,158273000,-0.0011108968508659611,129.41928571428573,129.41228571428573
2021-02-24,2021,2,24,Wednesday,08,2021-08,121.58,122.18,118.94,121.98,111039900,-0.004052340299406709,128.83642857142857,129.20583333333332
2021-02-25,2021,2,25,Thursday,08,2021-08,121.33,123.06,117.3,117.74,148199500,-0.03478250481270395,127.71142857142856,128.89594594594593
2021-02-26,2021,2,26,Friday,08,2021-08,119.29,121.49,117.94,118.0,164560400,0.002231496724781623,126.63428571428571,128.6092105263158
2021-03-01,2021,3,1,Monday,09,2021-09,120.42,124.49,119.49,124.35,116307900,0.0538513875811113,126.0,128.5
2021-03-02,2021,3,2,Tuesday,09,2021-09,124.96,125.26,121.65,121.75,102260900,-0.020893657438575297,125.24285714285715,128.33125
2021-03-03,2021,3,3,Wednesday,09,2021-09,121.45,122.33,118.56,118.78,112966300,-0.02445671636684532,124.31642857142857,128.09829268292683
2021-03-04,2021,3,4,Thursday,09,2021-09,118.47,120.28,115.43,116.9,178155000,-0.01581177917876153,123.27428571428572,127.83166666666668
2021-03-05,2021,3,5,Friday,09,2021-09,117.73,118.66,114.41,118.15,153766600,0.010738145966236345,122.30428571428571,127.60651162790697
2021-03-08,2021,3,8,Monday,10,2021-10,117.68,117.74,113.08,113.23,154376600,-0.041673156132810196,121.13428571428571,127.27977272727274
2021-03-09,2021,3,9,Tuesday,10,2021-10,115.83,118.78,115.59,117.83,129525800,0.04064951632472691,120.45642857142856,127.06977777777779
2021-03-10,2021,3,10,Wednesday,10,2021-10,118.42,118.88,116.24,116.75,111943300,-0.009166664562364368,119.77999999999999,126.8454347826087
2021-03-11,2021,3,11,Thursday,10,2021-10,119.24,119.9,118.0,118.68,103026500,0.016502674578157128,119.23,126.67170212765957
2021-03-12,2021,3,12,Friday,10,2021-10,117.16,117.91,115.95,117.77,88105100,-0.007625463228023155,118.88428571428571,126.48625
2021-03-15,2021,3,15,Monday,11,2021-11,118.14,120.66,117.18,120.65,92403800,0.024456794941159155,118.75428571428571,126.36714285714285
2021-03-16,2021,3,16,Tuesday,11,2021-11,122.32,123.8,121.36,122.19,115227900,0.01274291654971127,118.76928571428572,126.2836
2021-03-17,2021,3,17,Wednesday,11,2021-11,120.71,122.47,119.05,121.4,111932600,-0.006450692450122419,119.0307142857143,126.1968
2021-03-18,2021,3,18,Thursday,11,2021-11,119.57,119.87,117.08,117.29,121229700,-0.0339049313058718,118.98,125.9966
2021-03-19,2021,3,19,Friday,11,2021-11,116.67,118.16,116.46,116.76,185549500,-0.004480286505202158,118.43785714285715,125.8716
2021-03-22,2021,3,22,Monday,12,2021-12,117.09,120.54,117.02,120.07,111912300,0.028335923463864487,118.31785714285715,125.72879999999999
2021-03-23,2021,3,23,Tuesday,12,2021-12,120.01,120.9,118.85,119.24,95467100,-0.006888971520230047,118.35071428571429,125.5474
2021-03-24,2021,3,24,Wednesday,12,2021-12,119.52,119.59,116.84,116.86,88530500,-0.01999355065328423,118.34785714285714,125.37819999999999
2021-03-25,2021,3,25,Thursday,12,2021-12,116.32,118.39,115.8,117.35,98844700,0.00416347821613372,118.2907142857143,125.22219999999999
2021-03-26,2021,3,26,Friday,12,2021-12,117.11,118.21,115.72,117.95,94071200,0.00514148411136417,118.62785714285714,125.0376
2021-03-29,2021,3,29,Monday,13,2021-13,118.38,119.28,117.48,118.12,80819200,0.0014851370190906987,118.64857142857144,124.89480000000002
2021-03-30,2021,3,30,Tuesday,13,2021-13,116.88,117.16,115.66,116.67,85671900,-0.01227438450622631,118.64285714285714,124.7574
2021-03-31,2021,3,31,Wednesday,13,2021-13,118.38,120.2,117.89,118.86,118323800,0.018765598464790978,118.6557142857143,124.6504
2021-04-01,2021,4,1,Thursday,13,2021-13,120.33,120.84,119.19,119.69,75089100,0.006958520320192507,118.79285714285716,124.47839999999998
2021-04-05,2021,4,5,Monday,14,2021-14,120.54,122.77,119.76,122.51,88651200,0.023577333251488142,118.92571428571429,124.2688
2021-04-06,2021,4,6,Tuesday,14,2021-14,123.1,123.71,122.27,122.81,80171300,0.00246237929571258,118.97,124.0224
2021-04-07,2021,4,7,Wednesday,14,2021-14,122.45,124.48,121.77,124.46,83466700,0.013390391988563177,119.18857142857144,123.7342
2021-04-08,2021,4,8,Thursday,14,2021-14,125.48,126.88,125.06,126.85,88844600,0.01923351359701453,119.87142857142858,123.4892
2021-04-09,2021,4,9,Friday,14,2021-14,126.31,129.46,125.99,129.42,106686700,0.02025158148852646,120.7757142857143,123.317
2021-04-12,2021,4,12,Monday,15,2021-15,128.96,129.28,127.12,127.71,91420000,-0.013233083504582188,121.32142857142857,123.2072
2021-04-13,2021,4,13,Tuesday,15,2021-15,128.88,131.04,128.38,130.81,91266500,0.024306566783393047,122.14785714285713,123.259
2021-04-14,2021,4,14,Wednesday,15,2021-15,131.31,131.37,128.12,128.48,87222800,-0.01785278324228201,122.97785714285715,123.2218
2021-04-15,2021,4,15,Thursday,15,2021-15,130.22,131.37,130.04,130.88,89347100,0.018707705375552663,123.94428571428571,123.21619999999999
2021-04-16,2021,4,16,Friday,15,2021-15,130.69,131.05,129.69,130.55,84922400,-0.0025279012893194563,124.8442857142857,123.2244
2021-04-19,2021,4,19,Monday,16,2021-16,129.92,131.83,129.75,131.21,94264200,0.005068966178217504,125.7792857142857,123.17880000000001
2021-04-20,2021,4,20,Tuesday,16,2021-16,131.39,131.88,128.26,129.53,94812300,-0.012830560018848414,126.69785714285713,123.10780000000001
2021-04-21,2021,4,21,Wednesday,16,2021-16,128.8,130.15,127.77,129.91,68847100,0.0029302052993200878,127.48714285714286,123.0414
2021-04-22,2021,4,22,Thursday,16,2021-16,129.46,130.54,127.87,128.39,84566500,-0.011685520007226002,128.10857142857142,122.9622
2021-04-23,2021,4,23,Friday,16,2021-16,128.6,131.49,128.6,130.71,78657500,0.01803876584046127,128.6942857142857,122.94139999999999
2021-04-26,2021,4,26,Monday,17,2021-17,131.2,131.43,129.97,131.1,66905100,0.0029777046306593835,129.28642857142856,122.93359999999998
2021-04-27,2021,4,27,Tuesday,17,2021-17,131.38,131.77,130.5,130.77,66015800,-0.002448931798995302,129.73714285714286,122.9144
2021-04-28,2021,4,28,Wednesday,17,2021-17,130.7,131.39,129.5,129.99,107760100,-0.006027680424658621,129.96142857142857,122.92199999999998
2021-04-29,2021,4,29,Thursday,17,2021-17,132.8,133.38,128.89,129.89,151101000,-0.0007489316865131324,129.99499999999998,122.9734
2021-04-30,2021,4,30,Friday,17,2021-17,128.23,129.97,127.54,127.92,109839500,-0.015133180090599385,130.01,123.0074
2021-05-03,2021,5,3,Monday,18,2021-18,128.49,130.46,128.28,128.97,75135100,0.008215443459200777,129.87857142857143,123.05919999999998
2021-05-04,2021,5,4,Tuesday,18,2021-18,127.66,127.95,123.29,124.41,137564700,-0.03538543025735896,129.58785714285713,123.0952
2021-05-05,2021,5,5,Wednesday,18,2021-18,125.72,126.94,124.53,124.65,84000900,0.001955323689931676,129.14285714285714,123.13879999999999
2021-05-06,2021,5,6,Thursday,18,2021-18,124.45,126.26,123.71,126.25,78128300,0.012802405682526441,128.8357142857143,123.2242
2021-05-07,2021,5,7,Friday,18,2021-18,127.55,127.95,126.21,126.92,78973300,0.005327347611063349,128.52928571428572,123.40780000000001
2021-05-10,2021,5,10,Monday,19,2021-19,126.14,126.27,123.61,123.65,88071200,-0.02580443422081946,128.10928571428573,123.5208
2021-05-11,2021,5,11,Tuesday,19,2021-19,120.38,123.08,119.67,122.73,126142800,-0.007410332124450303,127.59642857142856,123.4884
2021-05-12,2021,5,12,Wednesday,19,2021-19,120.28,121.49,119.16,119.67,112172300,-0.024938397482276997,126.97357142857143,123.4468
2021-05-13,2021,5,13,Thursday,19,2021-19,121.43,122.96,121.12,121.81,105861300,0.01791956545646678,126.33785714285715,123.5074
2021-05-14,2021,5,14,Friday,19,2021-19,123.06,124.66,122.67,124.23,81918000,0.01984486143833264,125.84714285714286,123.654
2021-05-17,2021,5,17,Monday,20,2021-20,123.62,123.73,122.01,123.08,74244600,-0.009258657645101809,125.29785714285715,123.7526
2021-05-18,2021,5,18,Tuesday,20,2021-20,123.36,123.78,121.63,121.7,63342900,-0.011245620046673177,124.7057142857143,123.92199999999998
2021-05-19,2021,5,19,Wednesday,20,2021-20,120.05,121.77,119.76,121.54,92612000,-0.0012814106249628976,124.10928571428573,123.99619999999999
2021-05-20,2021,5,20,Thursday,20,2021-20,122.07,124.5,121.94,124.1,76857100,0.021012030144756055,123.83642857142857,124.1432
2021-05-21,2021,5,21,Friday,20,2021-20,124.59,124.77,122.05,122.26,79295400,-0.014767112756915446,123.35714285714286,124.21480000000001
2021-05-24,2021,5,24,Monday,21,2021-21,122.83,124.71,122.76,123.89,63092900,0.013314156126129184,123.32000000000001,124.3372
2021-05-25,2021,5,25,Tuesday,21,2021-21,124.59,125.08,123.13,123.7,72009500,-0.0015736542420401456,123.25214285714287,124.3982
2021-05-26,2021,5,26,Wednesday,21,2021-21,123.75,124.17,123.23,123.65,56575900,-0.0003939411153326411,123.06642857142857,124.42739999999999
2021-05-27,2021,5,27,Thursday,21,2021-21,123.25,124.42,121.92,122.12,94625600,-0.012376859540032092,122.72357142857143,124.4418
2021-05-28,2021,5,28,Friday,21,2021-21,122.4,122.62,121.41,121.46,71311100,-0.00534795841687441,122.56714285714284,124.5252
2021-06-01,2021,6,1,Tuesday,22,2021-22,121.92,122.19,120.81,121.14,67637100,-0.002648219516613426,122.45357142857144,124.6128
2021-06-02,2021,6,2,Wednesday,22,2021-22,121.14,122.08,120.92,121.9,59278900,0.00627603112591002,122.61285714285715,124.6494
2021-06-03,2021,6,3,Thursday,22,2021-22,121.53,121.7,120.02,120.42,76229200,-0.012154149455501306,122.51357142857144,124.67300000000002
2021-06-04,2021,6,4,Friday,22,2021-22,120.94,122.97,120.72,122.71,75169300,0.019022160758362272,122.405,124.79
2021-06-07,2021,6,7,Monday,23,2021-23,122.98,123.13,121.68,122.72,71057600,7.939546045721002e-05,122.37928571428571,124.89740000000002
2021-06-08,2021,6,8,Tuesday,23,2021-23,123.4,125.22,123.02,123.54,74403800,0.006672108481522221,122.51071428571429,125.0092
